Ár,Vísitala neysluverðs Grunnur frá 1981
01.01.80,
01.02.80,
01.03.80,
01.04.80,
01.05.80,
01.06.80,
01.07.80,
01.08.80,
01.09.80,
01.10.80,
01.11.80,
01.12.80,
01.01.81,100
01.02.81,"101,6"
01.03.81,"104,7"
01.04.81,"109,4"
01.05.81,"109,8"
01.06.81,"115,7"
01.07.81,"118,3"
01.08.81,"119,6"
01.09.81,"124,3"
01.10.81,"127,5"
01.11.81,"131,5"
01.12.81,"138,7"
01.01.82,"141,1"
01.02.82,"144,3"
01.03.82,152
01.04.82,"158,8"
01.05.82,"159,9"
01.06.82,"168,8"
01.07.82,"173,6"
01.08.82,"178,8"
01.09.82,194
01.10.82,"202,1"
01.11.82,"210,1"
01.12.82,"221,7"
01.01.83,"230,9"
01.02.83,"241,9"
01.03.83,"267,2"
01.04.83,"285,4"
01.05.83,"298,5"
01.06.83,"327,2"
01.07.83,340
01.08.83,"362,5"
01.09.83,"365,2"
01.10.83,"376,5"
01.11.83,"386,8"
01.12.83,"391,6"
01.01.84,"394,4"
01.02.84,397
01.03.84,"401,3"
01.04.84,407
01.05.84,"410,6"
01.06.84,"420,2"
01.07.84,"424,1"
01.08.84,"430,7"
01.09.84,"433,4"
01.10.84,"438,2"
01.11.84,"443,8"
01.12.84,"465,3"
01.01.85,"485,4"
01.02.85,"502,1"
01.03.85,"515,7"
01.04.85,"524,4"
01.05.85,"535,4"
01.06.85,"545,3"
01.07.85,"558,5"
01.08.85,"575,3"
01.09.85,"590,2"
01.10.85,"603,3"
01.11.85,"616,6"
01.12.85,"632,5"
01.01.86,"651,1"
01.02.86,666
01.03.86,"655,8"
01.04.86,"659,8"
01.05.86,"671,1"
01.06.86,"675,5"
01.07.86,"678,4"
01.08.86,"686,1"
01.09.86,"694,2"
01.10.86,"697,2"
01.11.86,"711,5"
01.12.86,718
01.01.87,"734,6"
01.02.87,"745,4"
01.03.87,"756,5"
01.04.87,767
01.05.87,"776,4"
01.06.87,"791,9"
01.07.87,"805,8"
01.08.87,"825,8"
01.09.87,"835,2"
01.10.87,849
01.11.87,"876,1"
01.12.87,"893,4"
01.01.88,"926,6"
01.02.88,"934,4"
01.03.88,943
01.04.88,"956,6"
01.05.88,"973,4"
01.06.88,"1006,9"
01.07.88,"1041,8"
01.08.88,"1063,4"
01.09.88,"1071,2"
01.10.88,"1074,8"
01.11.88,"1075,5"
01.12.88,"1077,5"
01.01.89,"1095,5"
01.02.89,1112
01.03.89,"1142,5"
01.04.89,"1167,3"
01.05.89,"1190,3"
01.06.89,"1225,4"
01.07.89,"1233,9"
01.08.89,"1250,5"
01.09.89,"1275,9"
01.10.89,"1301,1"
01.11.89,"1320,7"
01.12.89,"1349,3"
01.01.90,"1355,7"
01.02.90,"1377,8"
01.03.90,"1389,2"
01.04.90,"1393,4"
01.05.90,1406
01.06.90,"1415,7"
01.07.90,1425
01.08.90,"1429,4"
01.09.90,"1429,2"
01.10.90,"1433,1"
01.11.90,"1442,9"
01.12.90,"1446,4"
01.01.91,"1455,5"
01.02.91,"1459,8"
01.03.91,"1463,3"
01.04.91,"1470,1"
01.05.91,"1487,7"
01.06.91,"1508,2"
01.07.91,1518
01.08.91,"1529,7"
01.09.91,"1538,9"
01.10.91,1551
01.11.91,"1557,5"
01.12.91,"1555,8"
01.01.92,"1559,6"
01.02.92,"1561,4"
01.03.92,"1563,3"
01.04.92,"1563,2"
01.05.92,"1562,1"
01.06.92,"1567,6"
01.07.92,"1571,5"
01.08.92,"1571,5"
01.09.92,"1569,9"
01.10.92,"1570,9"
01.11.92,"1570,9"
01.12.92,"1579,1"
01.01.93,"1597,5"
01.02.93,"1608,5"
01.03.93,"1610,4"
01.04.93,1615
01.05.93,"1618,8"
01.06.93,"1617,8"
01.07.93,"1632,2"
01.08.93,"1647,3"
01.09.93,"1652,5"
01.10.93,"1662,2"
01.11.93,"1662,2"
01.12.93,1654
01.01.94,"1648,3"
01.02.94,"1649,9"
01.03.94,"1651,8"
01.04.94,"1653,8"
01.05.94,"1653,8"
01.06.94,"1655,7"
01.07.94,"1658,6"
01.08.94,"1659,6"
01.09.94,"1664,5"
01.10.94,"1662,5"
01.11.94,"1661,6"
01.12.94,"1662,5"
01.01.95,"1675,2"
01.02.95,"1677,1"
01.03.95,"1674,2"
01.04.95,"1672,3"
01.05.95,"1675,2"
01.06.95,"1677,1"
01.07.95,1682
01.08.95,"1688,8"
01.09.95,"1694,7"
01.10.95,"1702,4"
01.11.95,"1696,6"
01.12.95,"1695,6"
01.01.96,"1702,4"
01.02.96,"1705,4"
01.03.96,"1708,3"
01.04.96,"1711,2"
01.05.96,"1721,9"
01.06.96,1720
01.07.96,"1721,9"
01.08.96,"1732,6"
01.09.96,"1736,5"
01.10.96,"1737,5"
01.11.96,"1738,5"
01.12.96,"1730,7"
01.01.97,"1736,5"
01.02.97,"1737,5"
01.03.97,"1736,5"
01.04.97,"1749,2"
01.05.97,"1746,2"
01.06.97,"1750,1"
01.07.97,"1753,1"
01.08.97,"1757,9"
01.09.97,"1764,7"
01.10.97,"1770,6"
01.11.97,"1768,6"
01.12.97,"1765,7"
01.01.98,"1775,4"
01.02.98,"1771,6"
01.03.98,"1778,4"
01.04.98,"1782,3"
01.05.98,"1788,1"
01.06.98,1791
01.07.98,"1787,1"
01.08.98,"1777,4"
01.09.98,"1779,3"
01.10.98,"1787,1"
01.11.98,1792
01.12.98,"1788,7"
01.01.99,"1798,8"
01.02.99,"1795,9"
01.03.99,"1804,6"
01.04.99,"1814,4"
01.05.99,"1823,1"
01.06.99,"1838,2"
01.07.99,"1844,2"
01.08.99,"1851,2"
01.09.99,1867
01.10.99,"1881,6"
01.11.99,"1881,7"
01.12.99,"1888,1"
01.01.00,"1902,6"
01.02.00,"1897,5"
01.03.00,"1911,5"
01.04.00,"1923,4"
01.05.00,"1930,8"
01.06.00,"1938,5"
01.07.00,"1948,2"
01.08.00,"1938,2"
01.09.00,"1942,2"
01.10.00,"1961,6"
01.11.00,"1966,9"
01.12.00,"1966,7"
01.01.01,"1970,3"
01.02.01,"1973,9"
01.03.01,"1985,6"
01.04.01,"2009,9"
01.05.01,"2038,1"
01.06.01,"2069,3"
01.07.01,"2085,3"
01.08.01,2092
01.09.01,"2105,8"
01.10.01,"2119,3"
01.11.01,"2126,6"
01.12.01,"2136,5"
01.01.02,"2156,2"
01.02.02,"2150,3"
01.03.02,"2159,4"
01.04.02,"2160,3"
01.05.02,"2159,4"
01.06.02,"2168,7"
01.07.02,"2170,6"
01.08.02,"2158,9"
01.09.02,"2170,1"
01.10.02,"2181,4"
01.11.02,"2177,5"
01.12.02,2179
01.01.03,"2186,8"
01.02.03,"2183,1"
01.03.03,"2206,5"
01.04.03,"2209,1"
01.05.03,"2205,8"
01.06.03,"2207,2"
01.07.03,"2205,1"
01.08.03,"2203,1"
01.09.03,"2218,7"
01.10.03,"2228,9"
01.11.03,2232
01.12.03,"2238,7"
01.01.04,"2239,6"
01.02.04,"2232,8"
01.03.04,2246
01.04.04,"2258,7"
01.05.04,"2277,2"
01.06.04,"2294,2"
01.07.04,2284
01.08.04,2284
01.09.04,"2293,7"
01.10.04,2311
01.11.04,"2315,6"
01.12.04,"2326,5"
01.01.05,"2328,1"
01.02.05,"2333,6"
01.03.05,"2350,8"
01.04.05,"2355,7"
01.05.05,"2343,3"
01.06.05,"2359,2"
01.07.05,"2362,8"
01.08.05,"2366,8"
01.09.05,"2403,3"
01.10.05,2418
01.11.05,"2413,9"
01.12.05,"2422,6"
01.01.06,"2430,5"
01.02.06,2429
01.03.06,"2455,7"
01.04.06,"2483,8"
01.05.06,"2520,5"
01.06.06,"2549,8"
01.07.06,"2561,3"
01.08.06,"2570,2"
01.09.06,"2585,4"
01.10.06,"2590,7"
01.11.06,"2589,7"
01.12.06,"2591,4"
01.01.07,"2597,7"
01.02.07,"2608,6"
01.03.07,"2599,7"
01.04.07,"2615,8"
01.05.07,"2638,1"
01.06.07,"2651,6"
01.07.07,"2657,7"
01.08.07,"2658,3"
01.09.07,"2693,5"
01.10.07,"2706,5"
01.11.07,"2724,3"
01.12.07,"2743,3"
01.01.08,"2748,3"
01.02.08,2786
01.03.08,"2826,9"
01.04.08,"2922,7"
01.05.08,"2962,5"
01.06.08,"2989,3"
01.07.08,"3017,8"
01.08.08,"3044,3"
01.09.08,"3071,5"
01.10.08,3137
01.11.08,"3191,3"
01.12.08,"3240,7"
01.01.09,"3258,5"
01.02.09,"3275,2"
01.03.09,"3255,9"
01.04.09,"3270,1"
01.05.09,3308
01.06.09,"3353,4"
01.07.09,3359
